tickers,company,listed_market,listing_date,issue_price,company_website,business_address,main_business
000400,许继电气,深圳证券交易所,1997-04-18,9.24,http://www.xjec.com,河南省许昌市许继大道1298号,智能变配电、智能用电、直流输电控制保护、特种节能一次设备、工业及交通智能供用电等五大业务。
000401,冀东水泥,深圳证券交易所,1996-06-14,5.38,http://www.jdsn.com.cn,北京东城区北三环东路36号环球贸易中心A座25层,"生产和销售水泥熟料、各类硅酸盐水泥和与水泥相关的建材产品,同时涵盖砂石骨料、环保、矿粉、外加剂等产业(业务)。"
000402,金融街,深圳证券交易所,1996-06-26,3.68,http://www.jrjkg.com.cn,北京市西城区金城坊街7号,主营业务：
000403,派林生物,深圳证券交易所,1996-06-28,3.78,http://www.slbiop.com,上海市闵行区虹桥商务区申滨路168号丽宝广场TIB号楼3层,血液制品的研发、生产与销售。
000404,长虹华意,深圳证券交易所,1996-06-19,4.08,http://www.hua-yi.cn,江西省景德镇市高新区长虹路1号,冰箱压缩机、新能源汽车配件、家庭服务机器人行业。
000407,胜利股份,深圳证券交易所,1996-07-03,6.00,http://www.vicome.com,山东省济南市高新区港兴三路北段济南药谷1号楼B座31-33F,"塑胶管道、生物技术、国内外贸易和化学农药,天然气终端应用服务。"
000408,藏格矿业,深圳证券交易所,1996-06-28,4.80,http://www.zanggekuangye.com,青海省格尔木市昆仑南路15-2号;中国(四川)自由贸易试验区成都高新区天府大道北段1199号2栋19楼,钾肥(氯化钾)的生产和销售。
000409,云鼎科技,深圳证券交易所,1996-06-27,5.68,http://www.yundingkeji.cn,山东省济南市工业南路57-1号高新万达J3写字楼,铁矿石采选、生产和加工、贵金属采选、医药大健康和新能源、轮胎制造等。
000410,沈阳机床,深圳证券交易所,1996-07-18,4.16,http://www.smtcl.com,辽宁省沈阳经济技术开发区开发大路17甲1号,产品研发、机床制造、销售服务、行业解决方案、机床零部件配套等
000411,英特集团,深圳证券交易所,1996-07-16,4.60,http://www.intmedic.com,浙江省杭州市滨江区江南大道96号中化大厦,药品及医疗器械批发、零售业务。
000413,ST旭电,深圳证券交易所,1996-09-25,1.99,http://www.dongxuguangdian.com.cn,北京市西城区菜园街1号东旭大厦0828证券部,"平板显示玻璃基板生产线装备制造和技术服务、玻璃基板产品生产销售,彩色滤光片业务,新能源客车业务。"
000415,渤海租赁,深圳证券交易所,1996-07-16,6.00,http://www.bohaileasing.com,"新疆维吾尔自治区乌鲁木齐市新华北路165号广汇中天广场39楼,北京市朝阳区酒仙桥路甲4号3号楼宏源大厦10层",融资租赁业务和飞机、集装箱经营租赁业务。
000416,*ST民控,深圳证券交易所,1996-07-19,5.35,http://www.mskg.com.cn,"北京市东城区建国门内大街28号民生金融中心A座15层,山东省青岛市市南区闽江二路2号综合办公楼二楼",典当、财富管理和保险经纪业务。
000417,合百集团,深圳证券交易所,1996-08-12,5.80,http://www.hfbh.com.cn,安徽省合肥市蜀山区黄山路596号,综合百货、进出口等。
000419,通程控股,深圳证券交易所,1996-08-16,6.08,http://www.e-tongcheng.com,湖南省长沙市雨花区劳动西路589号,"商业零售、酒店管理与服务,综合投资。"
000420,吉林化纤,深圳证券交易所,1996-08-02,6.99,http://www.jlhxjt.com,吉林省吉林市经开区昆仑街216号,粘胶纤维的生产和销售。
000421,南京公用,深圳证券交易所,1996-08-06,5.60,http://www.nj-public.com,江苏省南京市建邺区白龙江东街8号新城科技园科技创新综合体A4号楼18层,燃气产业、房地产开发以及客运产业。
000422,湖北宜化,深圳证券交易所,1996-08-15,5.90,http://www.hbyh.cn,湖北省宜昌市西陵区沿江大道52号,化肥、化工产品的生产与销售。
000423,东阿阿胶,深圳证券交易所,1996-07-29,5.28,http://www.dongeejiao.com,山东省东阿县阿胶街78号,阿胶及阿胶系列产品的研发、生产和销售。
000425,徐工机械,深圳证券交易所,1996-08-28,4.80,http://www.xgjx.xcmg.com,江苏省徐州经济技术开发区驮蓝山路26号,从事起重机械、铲运机械、压实机械、路面机械、桩工机械、消防机械、高空作业机械和其他工程机械及备件的研发、制造、销售和服务工作。
000426,兴业银锡,深圳证券交易所,1996-08-28,5.88,http://www.xyyxky.com,内蒙古自治区赤峰市新城区玉龙大街76号兴业大厦,有色金属、黑色金属资源的采掘和冶炼。
000428,华天酒店,深圳证券交易所,1996-08-08,5.98,http://www.huatian-hotel.com,湖南省长沙市芙蓉区解放东路300号华天大酒店贵宾楼五楼,酒店服务及旅游地产等业务。
000429,粤高速A,深圳证券交易所,1998-02-20,3.54,http://www.gpedcl.com,广东省广州市天河区珠江新城珠江东路32号利通广场45-46层,"高速公路、等级公路,桥梁的建设施工,公路、桥梁的收费和养护管理,汽车拯救,维修,清洗,兼营与公司业务配套的汽车运输、仓储业务。"
000430,张家界,深圳证券交易所,1996-08-29,6.80,http://www.zjjlyjt.com,湖南省张家界市三角坪145号张家界国际大酒店三楼,(1)旅游项目经营;(2)旅游客运;(3)旅行社经营;(4)其他:酒店经营、房屋租赁、广告代理等。
000488,晨鸣纸业,深圳证券交易所,2000-11-20,4.44,http://www.chenmingpaper.com,山东省寿光市农圣东街2199号,机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售。
000498,山东路桥,深圳证券交易所,1997-06-09,5.88,http://www.sdlqgf.com,山东省济南市历下区经十路14677号,路桥工程施工和养护施工。
000501,武商集团,深圳证券交易所,1992-11-20,3.50,http://www.wushang.com.cn,湖北省武汉市江汉区解放大道690号,经营中高档百货和量贩超市业务。
000503,国新健康,深圳证券交易所,1992-11-30,1.00,http://www.crhms.cn,北京市朝阳区西坝河西里甲18号,医药电子商务、医疗福利管理等。
000504,南华生物,深圳证券交易所,1992-12-08,1.00,http://www.landfar.cn,湖南省长沙高新区岳麓西大道1698号麓谷科技创新创业园B1栋3楼,干细胞、免疫细胞储存及技术服务、干细胞治疗研究、医疗器械采购和销售和对外开展EMC合同能源管理业务、污水处理业务。
000505,京粮控股,深圳证券交易所,1992-12-21,1.00,http://,海南省海口市滨海大道珠江广场帝豪大厦29层,油脂油料加工、油脂油料贸易及食品加工。
000506,*ST中润,深圳证券交易所,1993-03-12,100.00,http://www.sdzr.com,山东省济南市历城区经十东路7000号汉峪金谷A2-3栋23层,矿业开采与自有房产的出租。
000507,珠海港,深圳证券交易所,1993-03-26,1.00,http://www.0507.com.cn,广东省珠海市香洲区紫荆路93号铭泰城市广场1栋20层,风力发电、光伏发电、管道燃气、天然气发电等新能源、清洁能源的投资、运营及服务;港口的投资运营、船舶运输、物流及港航配套服务等业务。
000509,华塑控股,深圳证券交易所,1993-05-07,1.00,http://,四川省成都市高新区天府大道北段1288号泰达时代中心1号楼12层,医疗服务业务和大宗商品贸易业务。电子信息显示终端的研发、设计、生产和销售服务业务。
000510,新金路,深圳证券交易所,1993-05-07,3.20,http://www.xjinlu.cn,四川省德阳市泰山南路二段733号银鑫·五洲广场一期21栋22-23层,氯碱化工、塑料制品的生产与经营等业务。
000513,丽珠集团,深圳证券交易所,1993-10-28,4.10,http://www.livzon.com.cn,"广东省珠海市金湾区创业北路38号总部大楼,香港湾仔告士打道38号万通保险中心13楼1301室",医药产品的研发、生产及销售。
000514,渝开发,深圳证券交易所,1993-07-12,1.00,http://www.cqukf.com,重庆市渝中区中山三路128号,房地产开发及石黄隧道经营、会展经营、房屋租赁、酒店经营等资产经营。
000516,国际医学,深圳证券交易所,1993-08-09,2.10,http://www.000516.cn,陕西省西安市高新区西太路777号西安国际医学中心医院保障楼,大健康医疗服务和现代医学技术转化应用。
000517,荣安地产,深圳证券交易所,1993-08-06,3.30,http://www.rongan.com.cn,浙江省宁波市鄞州区天童南路700号荣安大厦18F(A)、19F、20F,房地产开发与销售。
000518,四环生物,深圳证券交易所,1993-09-08,3.30,http://www.000518shsw.com,江苏省江阴市新桥镇新郁路中房6号,医药产品的研发、生产、销售及绿化园林工程业务。
000519,中兵红箭,深圳证券交易所,1993-10-08,200.00,http://www.zbhj.norincogroup.com.cn,河南省南阳市仲景北路1669号中南钻石有限公司院内,"超硬材料及其制品和内燃机配件的研发、生产、销售,大口径炮弹、火箭弹、导弹、子弹药等军品的研发制造业务;改装车、专用车、车底盘结构件及其他配件系列产品等民品业务。"
000520,凤凰航运,深圳证券交易所,1993-10-25,6.00,http://www.000520.top,湖北省武汉市江汉区江兴路13号鸿鹄科技园1栋7楼,"干散货航运及港航物流服务业,包括干散货运输、船舶代理、货运代理、综合物流及特种大件运输;船舶租赁;船员劳务、物业管理等。"
000521,长虹美菱,深圳证券交易所,1993-10-18,4.80,http://www.meiling.com,安徽省合肥市经济技术开发区莲花路2163号,"制冷电器、空调器、洗衣机、电脑数控注塑机、电脑热水器、塑料制品、包装品及装饰品制造,经营自产产品及技术出口业务及本企业所需原辅材料、机械设备、仪器仪表及技术进出口业务,百货销售、运输。"
000523,红棉股份,深圳证券交易所,1993-11-08,6.90,http://www.hongmian000523.com.cn,广东省广州市天河区黄埔大道西100号之二1907-1908房,文化创意园区运营业务与食品饮料业务。
000524,岭南控股,深圳证券交易所,1993-11-18,6.28,http://www.gzlnholdings.com,广东省广州市流花路120号,酒店经营和酒店管理、旅行社业务。
000525,*ST红阳,深圳证券交易所,1993-10-28,2.68,http://www.chinaredsun.com,江苏省南京市高淳经济开发区古檀大道18号,新型环保农药的研发和生产。
000526,学大教育,深圳证券交易所,1993-11-01,3.00,http://www.xueda.com,"福建省厦门市同安区滨海西大道紫光科技园2号楼2层,北京市海淀区知春路7号致真大厦B座28层",教育培训服务。
000528,柳工,深圳证券交易所,1993-11-18,4.20,http://www.liugong.com,广西壮族自治区柳州市柳太路1号,工程机械及关键零部件的研发、生产、销售和服务。
000529,广弘控股,深圳证券交易所,1993-11-18,7.20,http://www.ghkg000529.com,广东省广州市东风中路437号越秀城市广场南塔37楼,肉类食品供应业务、畜禽养殖业务和教育出版物发行业务。
000530,冰山冷热,深圳证券交易所,1993-12-08,3.50,http://www.bingshan.cn,辽宁省大连经济技术开发区辽河东路106号,制冷设备及配套辅机、阀门、配件以及制冷工程所需配套产品的加工、制造。
000531,穗恒运A,深圳证券交易所,1994-01-06,4.80,http://www.hengyun.com.cn,广东省广州市黄埔区科学大道251号,电力、热力的生产和销售。
000532,华金资本,深圳证券交易所,1994-01-03,7.83,http://www.huajinct.com,广东省珠海市横琴新区华金街58号横琴国际金融中心33A层,投资与管理、电子设备制造、电子器件制造、水质净化、专用设备制造业、医疗器械业等。
000533,顺钠股份,深圳证券交易所,1994-01-03,4.18,http://www.shunna.com.cn,广东省佛山市顺德区大良街道五沙社区新悦路23号新业楼,"以输配电设备为主业,投资供应链管理、商业保理等。"
000534,万泽股份,深圳证券交易所,1994-01-10,6.42,http://www.wedgeind.com,广东省汕头市珠池路23号光明大厦B幢8楼,微生态制剂、高温合金及其制品的研发、生产及销售。
000536,华映科技,深圳证券交易所,1993-11-26,1.68,http://www.huayingtg.com,福建省福州市马尾区儒江西路6号,从事LCD显示面板、液晶模组(LCM)的研发、生产及销售。
000537,中绿电,深圳证券交易所,1993-12-10,3.68,http://www.cge.cn,北京市朝阳区朝外大街5号10层,以住宅类为主的房地产开发业务。
000538,云南白药,深圳证券交易所,1993-12-15,3.38,http://www.yunnanbaiyao.com.cn,云南省昆明市呈贡区云南白药街3686号,药品生产制造、新药研发、药品流通服务、中药资源开发、营养保健、健康护理等业务。
000539,粤电力A,深圳证券交易所,1993-11-26,9.80,http://www.ged.com.cn,广东省广州市天河东路2号粤电广场南塔33-36楼,投资、建设、经营管理电力项目及进行电力的生产和销售的大型发电公司。
000541,佛山照明,深圳证券交易所,1993-11-23,10.23,http://www.chinafsl.com,广东省佛山市禅城区张槎街道智慧路8号,"研发、生产、销售高品质的绿色节能照明产品和电工产品,并为客户提供全方位的照明、电工解决方案。"
000543,皖能电力,深圳证券交易所,1993-12-20,2.50,http://www.wenergy.cn,安徽省合肥市包河区成都路2528号云谷金融城B01栋25-27层,燃煤火力发电。
